,Title,Content
14,Found ring,"Found a ring at Kroger several months ago. Describe it and if it is correct, it's yours.    "
15,Lost Dog! $1000 reward!,"Lost
13 year old, 16 lb dog named Teddy.
Last seen Monday Nov. 29th on corner of Finley ave and Garfield park.
He is black and white. See picture.
Been seen on Raymond and Tabor as well as Nelson st.
Please unless absolutely sure you can get him don't try to chase him!
I am offering a $1000 cash reward even if you text me picture and location.
Please help me find him. I'm heartbroken!!    "
16,FOUND DOG,"Found white and black young dog, male unfixed    "
17,Lost Wallet (Black),"On 12/04/2021 I lost my wallet more then likely in the pawns shops parking lot or on the side walk just past their door.
I am a disable wheel chair bound Army Vet.
Please return if found I need my I.D.'s for my health care.
If found or know where it is Please just drop it in a mail box or bring it to me No Questions Asked.
Thank you    "
18,Ferret and small animal rescue,"I'm willing to take in ferrets and other small pets to help keep them from being dumped at shelters or in the country. I have tons of experience in ferret, rat, mouse and rabbit care but I'd be willing to help with other small pets as well. I cannot take in birds, cats or dogs but I may be able to help find someone who can. Please message or call me at  show contact info
 if you need help with your pet. Have a blessed day. 

Not a 501c3 rescue just someone wanting to help with pets
"
19,Missing cat,"Our girl went missing November 9th on 10th Ave, near Bethel in Beechgrove Indiana zip code 46107 

Her name is Sadie, she’s very little for her age, has a slit on her right ear that’s noticeable, has very pretty blueish green eyes that change color often, short tail, she’s multicolored, very very sweet cat and would go up to anybody. We have included pictures!

If you have any information please email us! We just want our Sadie back home! We miss her a lot! 

Thank you.    "
20,missing cat,"lost medium sized young cat -- maybe tortise brown or tabby brown  as the color -  goes by - sweetest kitty - gone apptox 6 weeks     - may have ridden off under a vehicle --  please call if you think you have her -  Thanks --   she lived close to Flatvill but who knows where she ended up -- Rantoul -gifford - thomasboro , Rankin - or ??? --- two one seven SIX THREE 7  - one SIx  29 --- THANK YOU FOR TAKING TIME TO DECIPHER PH NUMBER --- JUST TO MANY SCAMMERS TO PUT  E Z READ    "
21,Lost gray dilute cat,"We have not seen our 5 yr old female/spayed gray dilute since Sunday. 
She has never strayed. 
Her name is Taffeta. She's not real sure of ppl she doesn't know but loves to sit for hours on my dad's lap.
We are very worried about her.
If you picked her up thinking she's up for grabs...she's not. 
She's very loved by us and my parents and our neighbors who are elderly. We're all worried sick over her.
We are about 1 mile west of Brazil on hwy 340 between DQ and high school.
"
22,Lost black dog found,"Sweet little back black dog found wandering Down Lantern Ln In the Summerlake subdivision. Trying to find his home. He appears well cared for and is very sweet. Please call Linda  show contact info
 or text. Thank you    "
23,Lost Wedding Ring & Diamond Ring,"pear shaped diamond solitaire engagement ring & 14 k yellow gold wedding ring that wraps around the other
They were attached to a wristwatch and then lost...last known location: Urbana Humane Society    "
24,Galaxy Note 10 +,"November 22-24.  Gabes, Meijer.  I was out shopping and have lost my phone.  It is a black Galaxy Note 10+.  As everyone does these days my life is on that phone.  I have irreplaceable pictures and memories.  Personal notes.   It does have a purple otterbox.   The phone is locked.  It has been reported to the police.  Thank you for reading.  Praying my phone can be returned to me.    "
25,Lost Chinese passport,"I lost my Chinese passport on the way from the Quality(110 N Neil St) to the Illinois Terminal in Downtown Champaign on 12/01, 4 pm. Please contact me if you spot it. Please do NOT contact with unsolicited services or offers.    "
26,nissan key and other keys found on W Hill,"Please describe keys upon reaching out, so that we know you are the right person. Found on Tuesday morning￼￼    "
27,Lost my cockatiel (Roxanna),"my baby got lose on September16th 2021  please keep an eye out for her (Cockatiel.)  Face is white with tan and white and grey body tail off white and yellow. I need her back. I miss my baby girl..
Please please help me found Roxanna.    "
28,Lost Yorkie,Milo is a 7 year old Yorkie with NO teeth. He ran off in an area he isn't familiar with while at a dog sitter. He didn't have tags on and he isn't chipped. Last seen on East Clark street near north tamarack street in Warsaw.    
29,Lost key,I lost the key to my back door.  Near church st park or lake of woods.  I was at both places yesterday when I lost it.   Really need to find it. It’s a unique key send a pic of it to help ID it.    
30,LOST Doberman Puppy **Reward**,"4 Month old Doberman Puppy Ran off in the vicinity or 7900 to 8400 Block on Sullivan Place Rd. He Has a collar on. Pic of his sister. If you see this puppy or know any info please call  show contact info
 Reward for his return!    "
31,Lost Ring,Sterling silver ring size 12 with flams and dice with numbers 7 and 11 on it    
32,i lost my great grandmothwrs weddinv ring,"This ring fell off my finger last week in Laporte. If anyone finds it, please please call me. I will pay whoever finds it. I am absolutely heartbroken.  show contact info
"
33,Found Grey&White Female Kitten,"She Was Found About 10-13 Days Ago On The Streets Of Indianapolis'IN
I Have Her Cosy'd Up With Me In The Meantime.    "
34,Golf club   9 iron,In good condition. Looks almost new. Msg me for details/description and location    
35,Found Female Chihuahua,Found a female chihuahua running down Smith Street and into traffic on 10th Street by the Sunoco gas station / convenience store.  Wearing only a very small collar.  No tags.  Friendly but seemed scared.    
36,Two Male Pitbulls,"Two male pitbulls are missing from near the intersection of Dogwood and New Rd. One is black and white and the other is reddish-brown and white. They have been missing since Saturday night, Oct. 30th. If you have seen them please call me right away at  show contact info
. Thank you    "
37,Kryptonite bicycle cable,Found black Kryptonite KryptoFlex Key Cable Bicycle Lock    
38,Lost snake,I lost my snake so i need a new 1 to play with. If you have a snake that needs attention please hmu.    
39,Missing Rottweiler,Female Rottweiler!! Microchipped!! Cash reward for safe return no questions asked!! Answers to zuri    
40,Lost CDs,"I lost my cds, any help finding would be appreciated. to those who was helping me earlier trying to find them I apologize had unexpected situation.    "
41,SEARCHING FOR LOST BLACK CAT,"Searching for Stella
She's a thin, all black teen female cat with yellow eyes and a very subtle white tuft on her chest. She is an indoor cat but occasionally sneaks away outside. She is very friendly, trusting, and easy to grab. 
She slipped out the door near Revolution Bike & Bean Shop on Tenth and Grant around 22:00 on Saturday, December 4, 2021. 
Please message if you have seen or gotten ahold of her!

"
42,"I found a Samsung phone at Winslow Woods Park, Sunday, November 7","I found a black, Samsung phone at Winslow Woods Park.

Tell me what is on the screen and I will get it back to you.

Sending me a * text note * is the best way to reach me.

My email account gets so much spam mail. So it's easy to miss a genuine email note. I have a budget phone. I have to check recent calls and then guess that someone maybe left me a voice mail message. And then call my phone number to see if the person who called actually left a message.

So if this is your phone, *** please send a text note. *** This is the only way I will see your note for sure.

I go to the Monroe County Public Library a few evenings a week, and that is an easy place to meet up.

Happy Trails, Anthony    "
43,bracelet,"I found a nice bracelet on walnut street, I’d like to return it to the owner. Email me and describe it and I’ll get it to you! :)    "
44,FOUND LOST DOG (HUSKY?) near KROGER / College Mall,"Lost husky, left with a couple who was helping me find the owner. Petco should know where the pup is now but this doggo is safe.    "
45,missing dog,my dog molly went missing 11/4 at 7am and is still missing she is a black/grey shih tzu and she is very skidish dont chase she isnt chipped    
46,Found brown coach purse,Have a lost coach purse from Saturdays notre dame game vs usc on October 23rd. I’m guessing it was lost or taken during tailgating ? If you lost it contact me and describe what’s in it.    
47,Lost black cat,"Lost young black female cat. Slender, wearing a collar, micro chipped. Offering $200 reward for her return. Last seen near Eastvue Drive and Vistula in the Baugo Bay area.    "
48,Lost black cat,"Black female cat, slender,19 months old, wearing a collar. Last seen November 17 near Eastvue Drive and Vistula in Osceola in the Baugo Bay area. She's micro chipped and very friendly. Offering $300 for her return.    "
49,LOST: Apple Airpods,"Was at the mall yesterday and my AirPods fell out of my case when I got a new keychain. 

My brother gave them to me as a gift and I can’t face him now that they fell out. 

If you see them or have them please contact me 🥺💔    "
50,"Golf club    3wood,  in good shape",Have a 3wood. In nice shape. You must come get it. Msg for details and images    
51,small parrot,"my cockatiel got out if seen , yellow and blue . let me know if found ,thank you    "
52,Found ford key fob & key,"If you lost,  contact & describe    "
53,found eye glasses,"found eye glasses in the 9800 block of nottingham ,
in chicago ridge.    "
54,sunglasses found,"found  pair of sunglasses at king spa today ,    "
55,looking for my keys,"I recently lost my jeys.   Its a key ring with a hand ful of keys invluding  small weird shaped key. It also has a set of black shoelace that have been braded . Also had a key ring woth the name of “Autumn “ on iy . If u come acrossed it could u please contact me at  show contact info
 ty    "
56,Found air pods,"Found air pods,  describe and contact    "
57,lost tool bag,"tool bag lost by morraine  ,if seen contact me .had a nice hammer and  new screw drivers ,thanx im steve    "
58,lost dog,"2 year old blue healer. Her name is Daisy.

Please email me if seen.    "
59,Pictures in shutterfly envelopes,I lost to envelopes of pictures of my daughter. They are in orange shutterfly envelopes.    
60,Dog found,Dog found in Niles by M-139 and pucker. Please contact if it may be your dog    
61,looking for my keys,"I recently lost my jeys.   Its a key ring with a hand ful of keys invluding  small weird shaped key. It also has a set of black shoelace that have been braded . Also had a key ring woth the name of “Autumn “ on iy . If u come acrossed it could u please contact me at  show contact info
"
62,Drone on South Anthony Boulevard,Found drone in perfect condition. Must be able to identify or verify by sending pic of packaging or purchase receipt...and/or be able to operate if/ when meeting.    
63,Lost MISSING black cat-lost missing Black dog Findings,"If spotted, even noticing someone walking her, holding her PLEASE CONTACT ME 24/7. She is my FAMILY, and SOOO… VERY VERY LOVED AND TRULY MISSED!!!! That’s the KNLY CHANUKAH GIFT I NEED!!!! HER PRESENCE!!!!    "
64,Black German Shepherd - Kimber,Missing all black German Shepherd dog. White on chest. Name is Kimber.    
65,MISSING CAT,"MISSING CAT: Whiskers, black and white with a black spot around his nose. About 10 pounds. Very friendly, will come if called. 
Last seen Wednesday, December 1st at Lyman St & Arch St

Please contact if you see him or have seen him recently!    "
66,Lost Cat,"Mocha is a white kitten with a dark spot on his head, one blue and one green eye, deaf, and has been missing since Saturday night. Any information would be appreciated    "
67,LOST LETTERS AND DIARIES,"LOST  looking for  Love letters from the 60's  that was from vietnam war   Letters were  written to soldiers  some named Russell to a lady name Weaver,  also letters from Lineberry to lady Weaver    My friend is 72 and someone in the 80's took all her diaries and personal family  pictures ? This happen when her mother died which was in 1988. They were in storage on her mothers property  Someone knows were these items are.   Don't care how they got them just would like to get them back if possible?  She watches everywhere auctions, ebay, A Treasure that is only special to her.  She would love to find them before her time is gone. 

CAN YOU HELP HER?    "
68,Lost MISSING black cat-lost missing Black dog Findings,"If spotted, even noticing someone walking her, holding her PLEASE CONTACT ME 24/7. She is my FAMILY, and SOOO… VERY VERY LOVED AND TRULY MISSED!!!! That’s the KNLY CHANUKAH GIFT I NEED!!!! HER PRESENCE!!!!    "
69,Lost black wallet,Hi I lost my wallet my I'd in it has my name Natalie plz if u find it plz email me    
70,Found walkie,"Found walkie talkie...

Reward?    "
71,Teddy Bear,"Last month I found a sweet little Teddy Bear in Fort Wayne on the road . He's safe and secure but he's waiting for his family to pick him up.I'm thinking you dont realize he's missing since I didn't get a response on my last post ,so if your little one hasn't been able to find their  special little friend maybe he's yours. He's safe and sound on my rocking chair.I won't release him to just anyone , you'll have to desribe his special markings and characteristics.

Sandra
"
72,LOST DOG FOUND (white husky),"Please see post on NextDoor or South Loop Dog and Pet owners for full details, but someone found this dog outside 14/Wabash    "
73,Lost MISSING black cat-lost missing Black dog Findings,"If spotted, even noticing someone walking her, holding her PLEASE CONTACT ME 24/7. She is my FAMILY, and SOOO… VERY VERY LOVED AND TRULY MISSED!!!! That’s the KNLY CHANUKAH GIFT I NEED!!!! HER PRESENCE!!!!    "
74,Found Opal Earring at The Gem Show,"I found an opal earring upon clean up at the gem show in October at the County Fairgrounds.  If you can email me a picture of your other one, I would be glad to get it to you.    "
75,STOLEN: Rag Dolls Cats (2) from Chicago Airport,"Please help.

Two rag doll kittens were stolen from the Chicago Airport from a courier. They were traveling to their new homes. If anyone has leads to finding these babies, please feel free to write and I can send to the poster, Agnieszka Ciesielska. They are worried sick for them and just want them returned safe and sound. 

Either someone wanted them so badly and stole them, or they are re-selling for profit. Please keep an eye out in the Chicago area.

This is circulating on Facebook. I am hoping this Craigslist post helps. Someone out there knows something!    "
76,LOST CATS?,"is super playful and loves to play , she loves to hop around and pretend to jump on you , she always loves hopping sideways when pretending to chase her    "
77,Pink scarf,My mom lost her pink scarf near daily building tonight. If found please let me know    
78,Found silver and gold dangle earring Chicago/Lake,Found silver and gold dangle earring at the bus shelter on the SE corner of Chicago and Lake. Unique design. Contact me with a description and we can arrange for it to be returned.    
79,Found Lost Dog,Found Nov 1st    
80,STOLEN DOG,"Black and white male stolen from doghouse at night on February 9 2021 REWARD for safe return contact  show contact info
"
81,Found gold tone ring Red Line at Chicago,Found gold tone ring on the stairs to the SB Red Line train in the Chicago Ave station. May have sentimental value? Contact me with a description and we can arrange for it to be returned.    
82,lost kitten/cat,"kittie/cat is tabby , low voice , very vocal "" mow "" cold and hungry . no collar
email me    "
83,Lost Dog- papillon,"Tri colored papillon. Black and brown face, white body and tail, black spot near tail. Last seen 11/30 near Janes Ave and Charmingfare dr    "
84,FOUND cat,"Adorable kitty, took to vet and they estimate around 5-6 months old but could also be a petite adult. No microchip, female, unable to tell if spayed or unspayed. Very vocal and loving    "
85,Homeless girlfriend,I'm searching for my homeless girlfriend 260 715 938    
86,found vape pen,"show contact info
 is my number. text with description if you lost one.    "
87,Lost my friend,Lost my friend cause he’s on vacation. Need a replacement. I can host.    
88,LOST CAT - GREY & WHITE ADULT,"LAST SEEN 12/6/2021 NEAR GEORGE & ALBANY

VERY FRIENDLY, MAY RESPOND TO HENRY, MORE LIKELY TO RESPOND TO A CAN OPENING. HE MAY BE HIDING IN YOUR PORCH OR BACKYARD - SEARCH & DO NOT APPROACH. 

PLEASE CALL WHEN HE IS FOUND, HE NEEDS HIS MEDS
"
89,LOST CAT,"Lost cat named Fig
Fig disappeared on 11-17 from logan square. He is microchipped with up to date information although was not wearing his collar at the time. He is an OBESE black and white tuxedo cat with 3 spots on his chest. PLEASE contact me with any sightings, information, or if you may have him.    "
90,LOST CLASS RING $50 REWARD,"A few years back I lost my Father's class ring somewhere between Orange Avenue and Old Casey's during a snowball fight. It's from Seneca High. It is mostly black and green and has 1981 and SM encrypted around the jewel on the front. I know this is a long shot, but I miss that dear ring!!    "
91,Found tortoiseshell cat near homer & albany ave humboldt park,"Tortoiseshell cat found with harness and leash attached near homer and albany ave in humboldt park area, chicago    "
92,Family Pet Lost,"Missing since 11/19, our family pet ran off towards Casey's on the Ohio side of Union City. He is an all black male cat. No white on him. He is 1 and 1/2 years old, neutered. He did not have his collar on and is not microchipped. We miss him terribly. Please contact if there is any information on his whereabouts.    "
93,free cabinet in alley on wheels,Few cabinet first come first serve    
94,Lost keys,"We lost a set of keys maybe on Tuesday 6/29 or Wednesday 6/30 probably somewhere between the near north side and the near north suburbs.  (We made many stops those two days.)  

They included a Hyundai car key (with the encircled H emblem), an office key fob, and a few other miscellaneous keys.  One key possibly had a yellow plastic key marker around the head of it.  If you may have seen them, please reply.  Thank you.    "
95,Small dog lost in Elmhurst,"Small chihuahua/dachshund lost in Elmhurst on 10/1. Has chip, collar, neutered and is about 8 lbs. May run so do not chase.    "
96,Stolen Records/ 45s,Will pay handsome reward money (and ask no questions) to have these returned to me if you see them in a pawn shop or record store or online. $$$    
97,lost important items,"2 men came into my workplace and stole my co-worker wallet. Her wallet contains important documents: social security card, green card, state ID, debit card and credit cards. They also took her keys. So if anyone happened to stumble upon her wallet and or keys on the ground somewhere, I would really appreciate it if you can kindly pick it up and contact me so that she can come pick it up.  This happened in Lincoln Park, IL.

Her name on the documents and cards is: Thi Kim Trong Huynh.

Thank you everyone.
"
98,Long-Lost Black and White Cat,"Greetings, Folks!

Different kind of post here- kind of a last effort (I actually ran a version of it last winter, and over the months on here as well. Have also posted in the various cats sections on FB, The Bosworth Block section, lostmykitty.com, and the local shelters as well.)

Just wonder if anyone has seen my little friend here in recent times (Butch)?

Long story short:

We sold our house to 2 good young guys, back in very-early November of 2018 (right near Bosworth & North Shore.) However, in the months prior, I would feed this little guy/give him drinks almost nightly- when it was warm out.

We left, I felt bad; so, posted about him, handed out many, many fliers over time- basically flooding the neighborhood (including individuals, small businesses, and postal carriers in the area). Then...

Lo & behold, he was seen twice! Once in early March, 2019; then again in mid May, 2019 (by some very nice men; one on the block north- 6700 N Ashland, one on the block south of 6500 N Bosworth). This positively confirmed to me that he made it through that harsh winter, 2 years back now  (smiles. And, since January of 2020, 2 additional men thought they MIGHT have seen him- near Sullivan High School.)

I believe he was ultimately a true feral; therefore, an elusive target. Medium build, with distinctive b & w markings- as shown (the face is almost an exact mix, half & half- but in vertical, not horizontal, fashion; exactly as shown here. And most of underside is white, while black on top. Look carefully at these images. And one who lives in the middle of 6500 N Greenview looks a lot like him too, plus another right near Farwell & Ashland! (But the former has the colors horizontal, as opposed to vertical, on his face.)  Could never figure out exactly where he came from; and I know a few in the neighborhood remembered him, from the time.

I would actually give supplies and, yes, $ reward to some nice person to feed him/give him drinks the way that I did. Sure, I know it's a long shot now.  But I'm hoping that at least, SOMEBODY in the area, or nearby areas, saw/knows something from over the months.

As one classic film reiterates... hope is a good thing (smiles).

Thank You!
Bob
(Update:  the nice manager at Clark/Devon Hardware, Jay, put it up on his poster board; as a result, I got a call from a man who MIGHT have seen him, but up near Lunt & Paulina.  But, this probably turned out to be the second one mentioned above- whom someone else identified as Chief.)    "
99,Lost black kitten on campbell street,Lost black kitten on campbell street between Peterson and Thorndale today. It got out somehow.    
100,METAL DETECTOR RENTAL AND RECOVERY SERVICE,"Lost something, Ring, bracelet, cell phone, keys, etc,etc.
Check us out for quick metal detector recovery.

call or text to:  show contact info

https://www.ringsandthingsrecoveryservice.com

"
101,Keys Found near Benton Harbor Library,"Keychain with several keys was found (Wed Nov 3) atop a trash receptacle near the parking lot next to the Benton Harbor Public Library across from City Hall.  They were turned into the desk at the library. Owner will need to give a description of items on key ring.  
Benton Harbor Public Library Ph. #  show contact info
"
102,LOST purse,Lost a cat-shapes purse in the Hmart parking lot. Orange color. A passport and keys are in the purse. Money Compensation will be provided if found. Thanks!    
103,Lost Dog - Airedale,Female Airedale last seen Mount Prospect. Please let me know if you see her.    
104,Blue Lunch Type Bag,"I left a small Blue Lunch Type Bag on top of my car as I left the new Starbucks in Lincoln, Il on 12/5. It has kids clothes in it and diapers. If found, please call/ text or email. Thanks!    "
105,Kitten's.free,"3 Adorable gray kittens ~ Free
eating on their own and ready for a loving home
if interested in having one:
call  show contact info
"
106,*lost* binoculars in south portage,"My daughter and I were going hunting and she had placed my new binoculars on the trunk.  Not knowing I drove off.  She's pretty upset, shit happens but they were a good pair and I can't replace them.  Reward if found. 
I can give description. 
Route:
Calico ➡️ south shore➡️ southbound portage Rd.    "
107,$100 dollar reward - Lost Black Cat - White tip on tail,"Lost black cat near Sugar Loaf Lake - goes by the name of Ramses. (See Pic) $100 Reward. (No questions asked) Please reply via email with best way to contact you (phone, email, etc) and I will contact you promptly.    "
108,Stolen vehicle 2008 Ford Focus light blue,"Stolen vehicle, offering $350 to anyone who can find the vehicle or the guy who stole it, or has any info on either. 
Car- 2008 ford focus 2 door, has a couple dents on the side, light blue color
Stolen from hamilton ohio enterprise lot, 
text me any info you have on either please.    "
109,Found item corner S Washington and Elizabeth,"My wife found a new, in box item lying in the street where Elizabeth Dr connects to S Washington Blvd, between Millville Rd and New London Rd.  If you lost something out of your vehicle in this area, contact us and describe the item you lost.  If you describe the item correctly, it's yours.  It's not a TV or anything expensive, so please don't try to guess to get something that isn't yours.    "
110,STRAY DOG found on 11/7/21,"Female dog was found  on corner of Kishwaukee and Home St Sycamore IL.The dog was given to the Sycamore Police Dept.
Call Sycamore Police Dept for more info.
"
111,Two Australian Shepherds found on Stonebrooke,"Two gorgeous and sweet dogs found - we put them in our backyard. Can’t bring them inside because we have our own four dogs. Call  show contact info
 if they are yours.    "
112,"FOUND BOXER CLAYTON, OHIO","Male Boxer, brown with a touch of white. Found on Saturday, bur was seen on Friday in the area. I cannot keep him for very long. No identification on the dog.

Call  show contact info


will have to call the Animal Resource Center on Monday. We can't take care of him much longer. Seems friendly enough. Takes to females better than males.

"
113,Lost cat-- Reward if found,Friendly white and brown tabby cat lost in Vine neighborhood since 11/7.    
114,Lost bird,"If anyone sees a sun conure around piqua get with me asap. The kids scared my parrot out the door...he responds to cheeko and will come to you. If you see him please call for him...if you find him please help him return home.
"
115,Missing black male poodle,Missing from the sycamore woods area a black male neutered miniature poodle he is 9 years old and very skittish please contact me asap if you think you have seen him    
116,Lost over $800,"I was in court in Jasper Indiana in traffic December the 2nd at 3 o'clock I paid and left around 5 went to Walmart than dig lots than goodwill. Than stopped at a gas station  on 71 north side going back to ohio.  During this I lost alot of money in large bills.   Please please please the person found this please contact me. I will give a reward for it back and drive back down there. Thus is my rent money I was going to get a money order on way home to give to hime. When I went to do it notice money was gone. And I only have ssi to live on.  Landlord is mad.  Please call me or text  show contact info
 yes ohio number.    "
117,Lost - Green Cheek Conure,"Missing Green Cheek Conure.  His name is Ethan.  He’s been missing since Wednesday, October 27.  If you even think you see him, please contact me.    "
118,lost grey striped cat,Our 6 month old grey striped male cat has been missing for several days. He is missed very much.    
119,GoPro Hero 5,"You rode the Mitchell Memorial Forest Mountain Bike Trail (""A"" Loop), then lost your Gopro Hero 5 after driving away.    "
120,Lost cell phone BLU VIVO X5,"I lost my BLU VIVO X5 cellphone on Wednesday12-01-2021 outside the 
Kalamazoo Metro station around 2:30-3:00 in the afternoon. 
I have many pictures stored on the phone that are irreplaceable.
The phone was locked and probably has no value to anybody
Please if somebody found the phone, contact me at  show contact info

Reward offered, no questions asked, can meet anywhere
Thank you so much    "
121,black bag on wheels,Found at E Miami River Rd and Harrison intersection.  Message with contents of bag to claim    
122,FOUND black & white kitten,"Family member found a 6-12 month black and white kitten in the neighborhood near downtown McHenry, Illinois. I took him in to care for him temporarily, he has no chip. He's extremely friendly and talkative, and he seems like he was once a house cat at some point as he was very underweight when found so he probably didn't know how to hunt for himself. Seems fine with dogs too, scared of cats and came back internal parasite free. He was found on 11/24 and doing really well; gaining weight like a champ, would love to find whether he had an owner or not before I look into getting him adopted out. If he is your cat please provide evidence of this in some way, I know what can go on with pets on craigslist. I will provide phone number upon request, thank you.    "
123,UPS lady you can tell this ain't my first rodeo,I was behind you on Main Street pulling into the trailer park is this is you you are absolutely gorgeous and please get ahold of me    
124,FOUND BIKE,"Looks like some tweaker ditched a bike in front of my house. Missing a bike? Maybe it’s here.

Text me with a brand name or brief description of your missing bike and I’ll let you know if I have it.

It’s outside still, so some other tweaker might take off with it if you don’t act fast. I only respond to texts.    "
125,Found!!!Orange and White Cat,"An orange and white cat has been found outside my home. Not sure if it’s a girl or boy. Friendly cat, but I cannot have any more cats otherwise I would keep it. The cat was found with a blue harness that we took off because it was so small, so it belongs to someone. Needs vet care. We don’t have a cat ordinance in East Leroy, so I can’t get anyone to pick him up. If anyone knows who he belongs to, please help!!    "
126,Found sun glasses,Was hiking Englewood Metro park near Paddy falls found older male looking sunglasses great shape if they are yours send description if yours you can drop by my house and pickup?    
127,Lost Dog-Yorkie Mix,"LOST MALE YORKIE MIX

BLACK FUR ON BODY, TAN HEAD, EARS, AND LEGS; DOCKED TAIL
HAS ON A BLUE AND GRAY COLLAR WITH DOG TAGS WITH MY
NUMBER ON IT

POSSIBLE LAST SIGHTINGS:
NEAR 7TH STREET AND MASON NEAR PRAIRIE HEART CENTER
NEAR LANPHIER HIGH SCHOOL AND THE BINGO HALL
NEAR 8TH STREET AND GRAND AVE
NEAR OAK RIDGE CEMETARY
"
128,LOST DOG - MOSTLY BLACK WITH SOME WHITE ON CHEST / GREAT DANE/LAB MIX,"**MISSING SINCE 11/18/2021 AT 09:30 PM**

LUNA is a SPAYED FEMALE, MOSTLY BLACK WITH SOME WHITE ON CHEST, GREAT DANE/LAB MIX who escaped and was last seen near ROXANNA DR AND KISMET CT.

LUNA is wearing A PINK AND BLUE collar with tags and IS microchipped.

If you see LUNA please DO NOT CHASE HER.

PLEASE CALL OR TEXT ONLY.

show contact info


$$ Reward $$    "
129,Lost Grey kitten,"Lost little Grey kitten, mother still feeding it. If found please contact me. Looks just like brother and sister.    "
130,Found Dog on North Bend,"Brindle and White pitbull mix. Only very young. Wandering round with a red leash on. 

Please email me.    "
131,Lost dog min pin,"Name is max. Slipped out of his collar last night. Owners out of town. If found please call  show contact info
"
