,Title,Content
26,Fuji road bike stolen,"My Fuji Professional 1.0 (size 53cm) was stolen while locked to a pipe in front of the downstairs entrance to Gelson's market. Silver/black/red race bike, unique triple gearing. 

I'm posting this ad in an attempt to get my bike back. If you have it you can tell me where you will leave it for me no questions asked, or if you've seen it someplace just let me know.

The Gelson's is at 13455 Maxella Ave, Marina Del Rey, CA 90292

Looks like this one, but not exact: https://bikeindex.org/bikes/38153    "
27,Found Flock of chickens,"Hi neighbors,
We found a flock of chickens (3 hens, 1 rooster all appear to be under 1 year old) in an empty lot next door to us on Saturday (11-27) and haven't left. We took them in so they don't get snatched up by coyotes, and we already have a coop with our own flock so caring for them is no problem, but I want to make sure they get returned to their family if they were runaways! If anyone has any information let me know. Thanks    "
28,$2500 Reward Lost cockatiel Sunset Park area,"Lost cockatiel. White and grey in area of Sunset Park of Santa Monica. $2500 reward his return. Answers to Winter.


Winter is a albino pied cockatiel, will use say phrases like whatcha doing, your pretty, your pretty bird, pretty bird, good bird, and peekaboo will also whistle things such as the dog whistle, adams family tune, and the cat calling whistle    "
29,FOUND MALE DOG,"FOUND! Young male dog. Small toy breed. No collar, no tag, no microchip. He is very friendly and appears to be purebred. Found near USC Medical Center on Lincoln & Marengo on Monday, December 6th 2021 around 2:30 PM. Valid proof of ownership required to claim.    "
30,Found Jeans,Did you lose a new pair of jeans? Please describe details and location to pick up.    
31,Found Silver Bike,"I found a silver bicycle in Venice. I assume it was stolen and later abandoned. If you have lost a silver bike, email me with a description and hopefully I can return your bike to you.    "
32,Lost keys on goldplated bangle bracelet,Lost set of keys on goldplated bangle bracelet. Kindly contact if found. thank you! :)    
33,Mind reading ghost named Wolf,"I found a mind reading ghost named Wolf around the Los Angeles / Santa Monica area around 5 years ago. I took him home with me to Michigan and have been looking after him since.
 I was drawing pictures at a Burger king and this mind reading ghost started talking to me/ following me around. 

I've been trying to help this ghost but apparently in Michigan nobody believes in such things. I'm hoping it's more common in the Hollywood area.... I love Wolf just wanted to let you know where he is. 

If you know anything about Mind reading ghosts please contact me...    "
34,LOST/STOLEN DOG,"Please keep your eyes open for this dog. If you see him, call Animal Services at  show contact info
 immediately
"
35,LOST/STOLEN DOG,"Please keep your eyes open for this dog. If you see him, call Animal Services at  show contact info
 immediately
"
36,LOST/STOLEN DOG,"Please keep your eyes open for this dog. If you see him, call Animal Services at  show contact info
 immediately
"
37,Please help find this dog,"STILL MISSING
Call Animal Services if you see him    "
38,Lost airpods,"I lost my airpods today at exit from freway 60 and indiana st.
If somebody found them please contact me, i can proove property with my phone connecting them.    "
39,"FOUND buried Bag with various items - Sorrento Beach, Santa Monica","While metal detecting and simultaneously removing trash from Sorrento Beach in Santa Monica around 4pm on Thanksgiving, Nov 25, I unearthed a plastic bag thinking it was camping trash. I only realized much later that the bag contained items most likely belonging to an unhoused person.

Items that got dirty from wet sand, I cleaned. Unprotected items that were destroyed by seawater while buried, I replaced with new items. All items are now in new Ziploc bags and protected by one large waterproof bag.

If you are missing such a bag and think, I found your belongings, please contact me and describe the bag's content. If the description matches, I will bring everything to you asap.

I am truly sorry for any distress I may have caused you - it was an honest mistake and I sincerely apologize.

I hope that you or someone you know will see this post or the flyer in the Sorrento Beach area. I've also contacted the Santa Monica Homeless Outreach in case you visit shelters.

Main Beach Parking Location:
Parking Lot #8 North, 810 Pacific Coast Hwy, North Beach, Santa Monica, CA 90403    "
40,FREE bunnies,"Half lop and half Havana bunnies. They were born on June 6, 2021 and they are five months old. They are playful and energetic and love to play with one another. There are two male brown bunnies. Really recommend getting both because they are social animals and they will become depressed if they are alone. Please text or call for more information.    "
41,"DARK GREY TABBY ""ALFIE"" MISSING","My sweet boy is still missing! He was last seen 8/3/19, on the south side of San Vicente Blvd. between Ocean Ave. and 4th street. Alfie is a 8 years old dark gray tabby with black stripes, and a tan belly with black spots. He has a knick on his right ear, a broken tail that stands sideways when erect, and he walks with a slight limp. Alfie is neutered and microchipped. Please if you see him or maybe you took him in, contact me at  show contact info
.    "
42,WHITE PITBULL,"Please call Animal Services if you see him  show contact info
"
43,WHITE PITBULL,"Please call Animal Services if you see him  show contact info
"
44,WHITE PITBULL,"Please call Animal Services if you see him  show contact info
"
45,Lost MISSING black cat-lost missing Black dog Findings,"Tabby male fixed 7 years old . stripped grey , black, tan. white chest his left ear is deformed . he is wearing a blue collar with spikes on outside of the collar with tags WITH OUR CORRECT PHONE NUMBER    "
46,Lost MISSING black cat-lost missing Black dog Findings,"Tabby male fixed 7 years old . stripped grey , black, tan. white chest his left ear is deformed . he is wearing a blue collar with spikes on outside of the collar with tags WITH OUR CORRECT PHONE NUMBER    "
47,Lost MISSING black cat-lost missing Black dog Findings,"Tabby male fixed 7 years old . stripped grey , black, tan. white chest his left ear is deformed . he is wearing a blue collar with spikes on outside of the collar with tags WITH OUR CORRECT PHONE NUMBER    "
48,Lost MISSING black cat-lost missing Black dog Findings,"Tabby male fixed 7 years old . stripped grey , black, tan. white chest his left ear is deformed . he is wearing a blue collar with spikes on outside of the collar with tags WITH OUR CORRECT PHONE NUMBER    "
49,LOST - Brown Tabby Senior Cat,"Hi everyone,

Have you seen a large, fluffy-tailed, brown tabby cat with an orange noise and a very whiny meow? Maybe somewhere near north of Glendale near Glorietta Park? 

If so… that may be Mochi!!

She has been missing since the night of October 31st, 2021. And hasn’t been seen since…
She had just turned 15 years old this September and has never left my side until that Halloween night… and despite everything I have done to try to find her, none of it has worked. 

Please, if anyone has seen her… maybe wandering around, in someone’s window, or maybe deceased… please text me her PHOTO and I will be there in an instant. I am utterly heartbroken and I miss her so, so much. She is a biggo sweetheart, loves people and is very friendly, intelligent and loves to just be by you. And she loves boxes and will jump into one of any size, no matter how smol.

Please feed her, too, if you happened to run into any stray cats. They may be her, or they may be other kitties who are looking for their homes, too.

So if you see a cat that looks like her, please SNAP A PIC & TEXT it to me!!! Please help… I really don’t know what else I can do. :( 

Thank you so much, 
Grieving cat mom
show contact info
"
50,lost my delivery guy,welostour delivery top guy looking for the best hablamos espanol    
51,Lost Chihuahua,"LOST CHIHUAHUA. 
Hi neighbors. My senior parents live near Paseo Nuevo and La Amistad, in Tarzana. This morning their Chihuahua (Charlie) disappeared around 8:30 AM.  Unfortunately he got out of the house and we think a coyote got him in the backyard because my mom heard him scream, but he was nowhere to be found. If by chance you see him please message me as my parents are very heartbroken. My phone number is on his collar. Thank you. 🙏    "
52,Lost huskies (reward $$$),"Lost huskies both males. The one that’s black and white is named Angel he’s responds to that name well and the gray and white one is named Lucky also responds to that. They’re very friendly and grew up together I just want my babies back. Please call or text this number if have seen them  show contact info
. The grey and white one is wearing a strawberry pink collar.
Reward $200 if found. Also I live in the Gardena area    "
53,Lost huskies (Reward $$$),"Lost huskies both male. Lost in Gardena, CA area. Main cross streets is Gardena and Vermont. The black and white one is named Angel which he responds to well. The grey and white one is named Lucky. They’re friendly and I just want my babies back with me. Please call or text if you’ve seen them around.  show contact info
. Reward $200 if found    "
54,*Missing Cat*,"Monster
Unaltered Male Brown Tabby
Missing since Oct. 11. 
Reward if found.
"
55,Lost keys,"Lost a set of keys about 2 weeks ago.  There are more than 8 keys on this set. If anyone has found them I will present them with a couple of hundred dollars. Or if you can help me find my keys I will help you out financially as this would also fall into the consideration of you also helping me find them. If found please describe them to me and we can move forward with the reward process.
Thanks.    "
56,*MISSING*CAT NAMED MONSTER**reward**,"A large unaltered cat named Monster went missing on 10/11. Please help bring him back home.

Large Brown Tabby
Unaltered male.
Missed servely.    "
57,"LOST STOLEN DOG !!! ""Theo"" Maltipoo 10lbs Tarzana","Lost Stolen Dog Maltipoo named ""Theo"" Should have a collar on. Has microchip. He has a very short tail between 3""-5"" long. Disappeared the night of November 16th from the back yard. May have run out to Vanalden Ave. and picked up? Could have been picked up, stolen, taken by coyotes, or mountain lions. No signs of coyotes or mountain lions that night.


REWARD if Found    "
58,Stolen Red Samsung Chromebook,"Samsung Galaxy Chromebook Ultra HD 
Fiesta Red with red keyboard  taken from my home on November 30, 2021. Police report documented.    "
59,Found cellphone,"Found lg aristo 5 cellphone found on February 26th in Big Tujunga Canyon area. 
If you are the owner, contact me with the lock code. If it works, I will give you the address to come and pick it up. I've attached a screenshot of the phone.    "
60,Found 2 shibas,"2 shibas, one male one female, no collars, no chips, typical shiba look.    "
61,dog found victory and wilbur,"Please contact  show contact info
"
62,Lost Black/Gray NEW Nintendo 3DS XL in black case with games,"A Black/Gray NEW Nintendo 3DS XL protected by a clear hard shell inside a black Nintendo 3DS pouch with two games (Super Smash Bros for 3DS and Dead or Alive: Dimensions) fell out of my jacket pocket when I was riding the Metro Bus 70 on October 30, 2021 between 11:15am-11:30am starting from Garvey / Santa Anita in El Monte to Garvey / Walnut Grove in Rosemead. The top screen is messed up with noticeable black spots on the right side of the screen when turned on.  My nickname on the system and games should be listed as ""RSA"". Reward negotiable if found.    "
63,Small thin drone went haywire and got lost :(,Got lost south of Ventura by Corbin. It's pretty unique. Please let me know if you heard it's beeper. Thank you so much.    
64,Found cellphone,"Found lg aristo 5 cellphone found on February 26th in Big Tujunga Canyon area.
If you are the owner, contact me with the lock code. If it works, I will give you the address to come and pick it up. I've attached a screenshot of the phone.    "
65,Bloodhounds can help locate your lost pet,"Specially trained search dogs can help locate your lost pet by providing a direction of travel which can lead to clues, evidence, eyewitnesses and target a search area. 

Sixteen years of experience in the field on lost cat and dog behavior.

Call, email or text. I would love to speak with you about your lost pet.

www.lostpetdetection.com
www.petsearchandrescue.com


CA28751    "
66,Please help lost!!!,"Please help my kitten managed to escape my house has been missing for a night she is 4 months microchiped last seen on cobalt st and herrick Sylmar CA, 91342 Please contact me if you spot her or have her.    "
67,lost small parrot bird,"Lost Parrot. Our family bird, Matey, flew out the back door this morning. She will land on one's shoulder and tweet. She has a red chest, gray neck, and blue and green wings. She was lost near Brand and Library in San Fernando. This is my son's bird. Please message or call if you see her or you capture her and she lands. She means a lot to my son.    "
68,Lost Wallet :::Reward:::,"Lost Wallet name Engin 

Keep Cash inside

No questions asked.

+Reward    "
69,LOST cat Indica,"Lost my cat, or someone has her. let me know please    "
70,Females purse found,If it’s yours describe what else is in it and when you can come get it.    
71,Sz 12/13 ankle strap heels,"I was at the Romantic  bookstore and I left some heels and a couple other items..... Got allittle scared my first time in them, nervous
Reward if found, describe the other items?
Willing to buy if someone has 4"" mules size 12/13
I'm in Orange County tomorrow.    "
72,Blue puppie pitbulls (Los Angeles),Blue nose pitbull puppies 8 weeks old males females fully dewormed eating dry puppies food parent on premesis call for info 424 x 250 xx 0136    
73,Lost Pug,Lost my baby girl Seven at Scherer Park her collar broke when I was walking her she ran towards the street and ran off when someone tried to get her poor thing gets scared easily she has a black spot on top of her head please return her if found I miss her so much she listens when you call her but she’s not likely to approach anyone she has special needs she’s partially blind please contact me if found no questions asked    
74,"$ 500 REWARD - Louis Vuitton Wallet STOLEN"" (lost & found)","$500.00 REWARD for STOLEN Louis Vuitton Wallet

NO QUESTIONS ASKED... just 500.00 given to whoever finds and returns this wallet with my Driver's License and Credit  Cards inside. I do not want the money that was inside the wallet, just the Driver's License and the Credit Cards. 

The wallet has the initials AB on the inside.    "
75,Electric Bicycle e Bike Charger Replacement Ebike Parts Sales & Repair,"We have Replacement Electric Bike Chargers
Battery, Parts, E-bike Sales & E-bike Repair.

Electro CT Power Bike
15971 Piuma Ave.
Cerritos CA 90703

Text or Call:   show contact info

10-5pm, we are only close on Tuesdays

www.562Ebikes.com

36-48 Volts Battery and Charger

"
76,Found small dog,"Found small dog dressed in Santa sweater on Dec 5th around 8:30 PM
Call Damir  show contact info
"
77,"Tabby cat, male, gold with brown stripes, red collar","About a year-and-a-half old.  Not neutered. 
Lost near the Chatsworth Vons parking lot last March.
He has had little exposure to cars so he panicked and disappeared into the neighborhood.
Friendly if he is not frightened or chased.  He is frightened of dogs.
Loves canned cat food.
Please call and leave a message if you see him, or catch him.
The red collar may have fallen off.
Reward.
"
78,Found money,"Yesterday, I found someone's lost money. Please contact me with details of where you lost it so that I can return it to you.    "
79,locking gas cap & keys,"Keys with locking gas cap, tag attached  mary     Left on side of pickup bed  after gassing up.   559=nine six zero=four two three one    "
80,lost small female dog,she is 20 pounds wirey hair curly bushy tail reward lost in 2300 block cerritos ave.signal hill ca.    
81,French bulldog lost,"Lost female French bulldog from pacific coast Hwy and rose Ave in the city of Long Beach, please text or call. We all make mistakes, please return- meet inside a local pet store and return my dog in exchange for reward money—as simple as that!! She’s especial to us, means the world to us, and we want her back. she’s older , not able to have pups and is NOT AKC. Unique mark is near her tail on her back a circular darker hair growth. Reward if you have her $700    "
82,ladies wallet,Hey I found in the area…if you lost it I can return. What’s inside? $? Get back to me.    
83,Lost Ring Recovery Service,"Member: The Ring Finders

Over 400 Recoveries Made!
DON'T WAIT, CALL NOW! TIME WILL WORK AGAINST YOU!

If you have lost a ring, watch, or any other kind of jewelry, keys or even a cell phone, please don't hesitate to give me a call. Do yourself a favor, don't buy or rent a cheap metal detector. I can search pretty much anywhere, in and out of the water, at parks, or beaches, lakes, open fields, etc., using the highest quality metal detectors available.  It would be my pleasure to help you find your valuables. I do not charge for my service, but will accept what you believe my services are worth for the recovery of your lost item. For me, getting what you lost back in your hands, is the most important thought in my mind as soon as I receive your call. All rewards are thoroughly appreciated.

If you lose your ring or other metal item of value, call as soon as possible. I will work hard, using the most up to date metal detectors, to help you find what you thought might never be found again. I search,  Beverly Hills, Hermosa Beach, Huntington Beach, Long Beach, Los Angeles, Malibu, Manhattan Beach, Newport Beach, Northridge, Pasadena, Rancho Palos Verdes, Redondo Beach, Santa Monica, Seal Beach, Simi Valley, Thousand Oaks, Torrance, Venice Beach, and all parks, yards, gardens, and ponds (to 5 foot depths) in all of Orange County, all of Los Angeles County, and Ventura County.

If you lost an item, many factors as TIME progresses can make it harder to find. THE LONGER THE TIME, THE HARDER THE FIND. Please do not wait, as TIME IS OF THE ESSENCE!
Call:  show contact info


Best regards,
Steve Smith
"
84,Lost Frenchies Please help bring home safe,"Lost in the city of La Puente last seen 12/5 5:50pm on Temple st and Glendora Merle seen picked up by tan SUV either a Toyota or Lexus please help return reward — in La Puente, California.    "
85,taco tuesday,"looking for someone mature to have a taco tuesday night. i dont have many girlfriends that i can do this with. 
29
reach out to me if you like latina food.    "
86,Lost Dog,Tan-ish or brown. Resembles a fox. White(graying) around snout. Please help her get home to her family.    
87,$$ REWARD Missing Brown/Chocolate longhair cat,"12 years old, female, chipped but no collar, completely brown, even her nose. Walks with a slight limp. Missing since 9/20/21.    "
88,Lost fluffy Black Cat,"My cat snuck out of hotel room on PCH Friday night. Have yet to find her. She’s all black and very fluffy. She is very timid, and I’m unsure if she would go to people for help. 

She has a very fluffy tail and neck ruff And can look chocolate brown sometimes in the sun. 

If you see her or find her please call or email.
Reward available.

Thank you.    "
89,FOUND - Apple Airpods,"Found Apple Airpods on Saturday, November 13th in Buena Park.  You tell me where you left them and I will get them to you.    "
90,Lost cat,Fluffy orange male cat goes by the name of scotch has been missing since halloween. Very finicky. He is very loved please let me know if you see him.    
91,LOST CAT - PEANUT,"Please help us find our PEANUT <3

Medium/Large Shorthair Grey & Black Tabby - Female
White Paws, White around Eyes & Chest, with a Ringed Tail
She’s an Indoor Cat, Friendly, and Affectionate
But she’s probably scared and looking to get home

Last seen around 1st St between PCH and Marina.
If you have any information, PLEASE CONTACT US

Thank you for looking... <3    "
92,Lost white senior chihuahua female,"Our dog went missing from our yard last week. Small white, wire hair terrier/chihuahua mix. Pink nose, missing teeth. Very brave. She is my heart and soul. Have you seen her?    "
93,Found Leatherman tool with holster,Found Leatherman tool with holster on Ironwood St.  I am holding it for you.  It is personalized.  If it is yours you should be able to identify it and spell the personalization on it.    
94,FOUND CAT,"FOUND Tabby Cat in Seal Beach area
Contact me if yours or think you know the owner
The Cat Thanks You!    "
95,Lost Shoulder Bag,I lost my black shoulder bag recently which contains my black wallet and keys :( if anyone found it please let me know I will pay you $100. My driver license is in there with the name Yuri Le along with many other important things. Please let me know right away as soon as possible! Last location known near Beach Blvd and Ball.    
96,Garmin Fenix 5 Watch Lost on Fullerton Loop,"Hey Fullerton Loopers! I know it’s a long shot but hoping someone sees this. On 11/26/2021 I lost my Garmin Fenix 5 watch on the Fullerton Loop. It’s black and has a black metal band. Really love this watch and would really like to get it back. Please let me know if you find it and please spread the word. Thanks, Joe

Seven
Won
4
Sixx
Too
Fore
Four
9
One
Won    "
97,Someones Cat,There's a cat that has been staying outside my home at night that has a reflective collar with a blue bell. It lets me pick it up and is very sweet. It follows me as I walk towards my door to my home and keeps meowing    
98,Lost Gold Bracelet,"If you’ve seen this bracelet anywhere or on someone please notify me it’s extremely sentimental it’s pretty unique and I will give a nice reward  show contact info
"
99,LOST KEYS with TOYOTA KEY FOB - $$ REWARD $$ -,"It is a key ring with a black, plastic Toyota key fob and five or so other metal keys on the key ring.  One of the metal keys is black in color.  I've included pictures of what the Toyota key fob looks like.  Please let me know if you find them.  I will come to you and happily reward you with cash.    "
100,KEY FOB,"Found along Triunfo Canyon Rd near the lake, earlier this week - original post flagged for some reason. Second try. 
Please contact to describe and hopefully can get it back to the owner.    "
101,Lost Sun Conure Parrot,"Hi neighbors,

My Sun Conure “escaped” while under the supervision of my mother and brother

She responds to Julie or Julie Bean.

She's likely nesting so I'll be reposting this ad for the next 3-6 weeks. Please keep an eye and ear out for me. 

Color: red and orange colored face and green and yellow feathers on her body

Personality: she's domesticated. She'll approach a human if she needs for survival. She'll be rowdy during sunset and sunrise, otherwise she’s shy, and curious but keep her distance. 

Please update me if you have any sightings or know of anyone who found this baby

Please help me pull off a miracle and bring her home!

You can also DM me on Instagram @ravecanelo    "
102,Penny Board,Found a penny board in fullerton last week.    
103,Lost Male indoor cat*answers to Kitty or Baby,"Our 1 yr old male tabby went missing almost a week ago now in the middle. of the night from the homestead apartments on deerpark and YL blvd he is indoor does hang out and play on upstairs patio...he is friendly playful frisky loving curious...he is a multi colored tabby with black markings black M on forehead white socks on all 4 paws white under chin and on belly...also has tan fun surrounding the white fur under belly. He is a short haired domestic...he is well fed and has soft and shiny coat. he can be skittish around other animals and loud noises...we live up against the 57 fwy and are surrounded by busy streets and back up to a neighborhood on 
Bastenchurry. Its hard to imagine he has gone far due to the description to the area unless someone has been kind enough to give him safety. He does not know the area well and is nurtured so he is not able to spray to leave or find a trail. Please contacts us. Kerri or jeremy at  show contact info
...we are both devastated and missing our little guy    "
104,free guinea pigs,Free to a good home    
105,if your cats are missing,"then frazier brown has them usually right here at 11880 western ave. he'll be parked there with some navy blue or brown cargo shorts in a small tonka truck with a snug top.

he has the word pedophile written on his face in braille..follow the prolapsed asshole smell and you'll find him almost immediately. he calls it the ""rings of saturn(sad-earn) pornography"". 

if you care to bid on a polaroid of him doing so, you can find it online if you search hard enough. he stays right there by the walmart off of gilbert and chapman.    "
106,if your loved one is missing..,"and they were followed by obvious rejects or were possibly walking away from the walmart on gilbert and chapman, then you're in for a surprise

because frazier brown and muscafa shadroon keep talking about neptune's lagoons on dale and ball...which connects to frogger's house(with the backyard next to the magnolia bird farm, with a lot of antique refrigerators in the backyard)...that guy ""Frogger"" is a piece of shit evidently. He's got an underground daycare @ brookhurst elementary. if there's any signs of tunneling from there, it's gonna be from the road that curves on bixby...that tunnel goes under the tree planters

Colonel Sanders has a ""no arrest"" thingy which he's supposed to keep on him...that's just corruption tho.    "
107,Lost Keys,"Hi. I was riding my bike on 10/23/2021 and lost my keys. I was on Bishop Pl going east on the sidewalk, then turned left onto Weststate st going north, then I went right on bolsa south side sidewalk going east to the 1st stop light at the imperial shopping mall. I crossed the street to the north side bolsa sidewalk and went back west about 1 block to the bus stop. 2 of the keys are brass. The remaining keys are silver 2 of them have a black cover on them. I also have miniature library cards with the number scanner on them. 1 is green from a library in Colorado. I also have a rubber foot sole on them. Please contact me if you found them.    "
108,Looking for my rabbits,Lost two rabbits they are my pets miss them so much.    
109,FOUND sm white dog,"Found small. White dog running down my alley 2 days ago scared to death no collar.  maybe 2 or 3, llasa apso I think.  If you think it's yours please call Tina  show contact info
.  Found near beach and bolsa westminster    "
110,Found 11/4 - Black Cat in Halloween Outfit,"This young panther definitely has a loving home somewhere. Super friendly, let me bathe him, flea comb him, and trim his nails! Hoping to find the owner who put him in a cute costume before he escaped. Has some white markings on chest, toes, and belly. He is an unfixed male and not microchipped.    "
111,Lost cat,"Lost cat he is a Black/gray and white cat goes by the name Vaca. He is very missed, he left the house without a collar and hasn’t gotten home since then. Last seen on Orangewood    "
112,Black wallet,Lost black wallet with only cash inside on Thousand Oaks Blvd. between Houston and Moorpark road. If found please contact me    
113,Missing Dog - Female Black/Brown Chihuahua,"Koko is 6 years old, weighs around 12 lbs, hyperactive, loves cats, and barks a lot. This dog needs her medication for her heart (dilated cardiomyopathy). 

$300 reward if found. 

Thank you    "
